Date,Feature1,Feature2,Feature3,Target
2018-01-01,0.5,0.8,0.2,10
2018-02-01,0.6,0.7,0.3,12
2018-03-01,0.4,0.9,0.1,11
2018-04-01,0.7,0.6,0.4,14
2018-05-01,0.8,0.5,0.3,15
2018-06-01,0.6,0.8,0.2,12
2018-07-01,0.9,0.4,0.6,18
2018-08-01,1.0,0.3,0.7,20
2018-09-01,0.8,0.5,0.5,16
2018-10-01,0.7,0.6,0.4,14
2018-11-01,0.6,0.7,0.3,12
2018-12-01,0.5,0.8,0.2,10
2019-01-01,0.6,0.7,0.3,12
2019-02-01,0.4,0.9,0.1,11
2019-03-01,0.7,0.6,0.4,14
2019-04-01,0.8,0.5,0.3,15
2019-05-01,0.6,0.8,0.2,12
2019-06-01,0.9,0.4,0.6,18
2019-07-01,1.0,0.3,0.7,20
2019-08-01,0.8,0.5,0.5,16
2019-09-01,0.7,0.6,0.4,14
2019-10-01,0.6,0.7,0.3,12
2019-11-01,0.5,0.8,0.2,10
2019-12-01,0.6,0.7,0.3,12
